,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,MONTHLY SLOT MACHINE GAMING REVENUES,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mohegan Sun,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
State Tax (34%),"$4,729,449.68","$4,321,110.94","$4,099,057.88","$4,237,549.43","$3,896,177.52","$4,111,666.35","$4,310,047.02","$4,252,962.72","$4,717,858.36","$4,403,174.05","$4,200,753.23","$3,926,687.38","$51,206,494.56","$1,078,037,818.74",
LSA (2%) 3,"$278,202.91","$254,183.00","$241,121.07","$249,267.62","$229,186.92","$241,862.74","$253,532.17","$250,174.26","$277,521.08","$259,010.26","$247,103.15","$230,981.63","$3,012,146.81","$103,282,242.72",
EDTF (5.5%) 4,"$765,058.04","$699,003.20","$663,082.90","$685,485.96","$630,264.03","$665,122.51","$697,213.48","$687,979.24","$763,182.98","$712,278.12","$679,533.59","$635,199.40","$8,283,403.45","$164,595,410.52",
PRHDF 5,"$1,278,068.51","$1,172,456.45","$1,116,504.70","$1,147,104.87","$1,044,317.71","$1,105,636.59","$1,158,527.36","$1,129,029.57","$1,252,232.38","$1,169,388.90","$1,110,683.35","$1,032,995.79","$13,716,946.18","$340,017,471.34",
Taxable w/s/d,$246.28,$225.01,$220.56,$220.66,$209.65,$214.47,$228.77,$254.41,$255.78,$246.68,$227.74,$229.16,,,
Number of Machines 6,"1,822","1,822","1,822","1,822","1,822","1,819","1,786","1,755","1,750","1,750","1,750","1,680",,,
GTR % Change 7,-17.14%,-15.61%,-12.65%,-17.60%,-10.58%,-8.29%,3.75%,-7.69%,-4.35%,-11.96%,-6.30%,-5.32%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Wind Creek,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$481,587,492.87","$451,713,291.49","$445,579,522.31","$453,526,376.66","$437,588,018.09","$446,740,668.09","$450,834,721.35","$424,225,897.80","$472,962,301.59","$457,636,808.97","$453,047,437.85","$444,946,034.46","$5,420,388,571.53","$59,517,719,925.61",
Payouts,"$439,423,167.55","$411,122,546.00","$406,164,009.60","$413,791,953.58","$400,213,228.24","$408,521,199.50","$411,709,356.87","$386,794,475.49","$432,364,845.93","$418,955,767.26","$413,319,423.25","$407,017,013.30","$4,949,396,986.57","$53,752,376,318.12",
Promotional Plays (Internal) 1,"$17,471,970.04","$17,394,375.83","$17,480,776.14","$17,392,470.32","$16,391,585.61","$16,131,354.33","$15,308,455.48","$14,129,641.63","$15,645,004.35","$14,703,496.20","$15,223,233.68","$14,848,353.94","$192,120,717.55","$1,910,150,043.79",
Promotional Plays (External) 1,"$51,967.95","$46,586.99","$61,389.17","$43,677.44","$39,349.51","$53,516.30","$41,614.23","$40,860.29","$36,716.56","$38,246.14","$47,514.62","$26,279.55","$527,718.75","$1,193,982.21",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$309,476.70",
Gross Terminal Revenue,"$24,692,355.28","$23,196,369.66","$21,934,736.57","$22,341,952.76","$20,983,204.24","$22,088,114.26","$23,816,909.00","$23,301,780.68","$24,952,451.31","$23,977,545.51","$24,504,780.92","$23,080,667.22","$278,870,867.41","$3,855,503,040.40",
State Tax (34%),"$8,395,400.81","$7,886,765.67","$7,457,810.47","$7,596,263.95","$7,134,289.43","$7,509,958.86","$8,097,749.07","$7,922,605.44","$8,483,833.46","$8,152,365.50","$8,331,625.53","$7,847,426.85","$94,816,095.04","$1,310,871,034.06",
LSA (2%) 3,"$493,847.11","$463,927.38","$438,694.73","$446,839.06","$419,664.11","$441,762.29","$476,338.19","$466,035.62","$499,049.04","$479,550.89","$490,095.62","$461,613.35","$5,577,417.39","$118,890,938.77",
EDTF (5.5%) 4,"$1,358,079.53","$1,275,800.34","$1,206,410.53","$1,228,807.41","$1,154,076.22","$1,214,846.30","$1,309,930.00","$1,281,597.91","$1,372,384.83","$1,318,764.99","$1,347,762.94","$1,269,436.69","$15,337,897.69","$201,833,438.94",
PRHDF 5,"$2,263,827.92","$2,134,637.43","$2,026,688.22","$2,043,614.46","$1,902,851.72","$2,008,827.35","$2,173,034.58","$2,101,155.28","$2,245,045.41","$2,154,864.28","$2,193,350.97","$2,058,177.29","$25,306,074.91","$402,490,901.42",
Taxable w/s/d,$281.05,$269.83,$269.22,$272.14,$271.53,$278.11,$302.70,$333.00,$325.98,$335.48,$341.02,$331.91,,,
Number of Machines 6,"2,831","2,773","2,714","2,648","2,575","2,562","2,538","2,501","2,470","2,385","2,318","2,317",,,
GTR % Change 7,-4.60%,-6.42%,-5.89%,-4.19%,-7.21%,1.33%,30.19%,4.43%,5.18%,-4.28%,-1.82%,2.52%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rivers Pittsburgh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$287,264,488.10","$253,575,833.56","$265,069,622.10","$250,824,613.33","$249,833,386.83","$265,743,028.44","$243,548,730.50","$265,532,337.36","$293,210,462.82","$268,272,689.68","$254,738,382.14","$242,510,545.50","$3,140,124,120.36","$43,701,444,973.98",
Payouts,"$257,738,488.41","$228,453,941.17","$238,171,825.38","$224,848,056.87","$224,869,990.60","$238,791,960.52","$218,743,709.60","$238,000,064.61","$263,210,793.72","$240,482,689.29","$228,377,235.98","$217,934,730.91","$2,819,623,487.06","$39,280,730,376.84",
